Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,inicio,Rua Aimbere,-46.682945,-23.539422,A
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,um,Rua Cajaiba,-46.682946,-23.54037,B
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,dois,Rua Cayowa,-46.63611,-23.5475,C
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,tres,Rua Francisco Bayardo,-46.687498,-23.538785,D
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,quatro,Rua Saramenha,-46.689579,-23.539281,E
Lapa,Acadêmicos da Cerca Frango,2017-02-28T00:00:00Z,9:00,cinco,Rua Havai,-46.686977,-23.541392,F
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,inicio,Rua Jose Pinto Tavares,-46.606548,-23.646842,A
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,um,pca. Giovanni Boldini,-46.605313,-23.646881,B
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,dois,R. Francisco j. Carvalho,-46.63611,-23.5475,C
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,tres,R. Joao Jose da Silva,-46.714595,-23.825149,D
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,quatro,R. Frederico Bartoldi,-46.63611,-23.5475,E
Ipiranga,"ACADÊMICOS DO PARQUE BRISTOL",2017-03-05T00:00:00Z,13:00,cinco,Av. Pe. A. Vieira,-46.63611,-23.5475,F
Vila Mariana,Afoxé Obá Inã,2017-02-25T00:00:00Z,11:00,inicio,Rua Ouvidor peleja,-46.631088,-23.602861,A
Vila Mariana,Afoxé Obá Inã,2017-02-25T00:00:00Z,11:00,cinco,virarrua  Rua Padrua Machado,-46.63611,-23.5475,F
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,inicio,Rua oscar freire,-46.668973,-23.563117,A
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,um,a rua haddock lobo,-46.663802,-23.559934,B
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,dois,subindo,-46.053544,-23.579025,C
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,tres,a al. lorena,-46.662846,-23.566619,D
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,quatro,descendo a rua da consolacao,-46.642012,-23.547833,E
Pinheiros,Amigos Atoa na Freire,2017-02-18T00:00:00Z,15:00,cinco,a oscar freire,-46.672779,-23.559113,F
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,inicio,Rua Guaicui,-46.696022,-23.566163,A
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,inicio,Rua Guaicui,-46.696022,-23.566163,A
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,dois,rua campo alegre,-46.63611,-23.5475,C
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,dois,rua campo alegre,-46.63611,-23.5475,C
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,tres,rua pe. Carvalho,-46.63611,-23.5475,D
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,tres,rua pe. Carvalho,-46.63611,-23.5475,D
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,quatro,rua Joao Elias Saada,-46.697357,-23.566774,E
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,quatro,rua Joao Elias Saada,-46.697357,-23.566774,E
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,cinco,rua Ferreirua de Araujo,-46.63611,-23.5475,F
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,cinco,rua Ferreirua de Araujo,-46.63611,-23.5475,F
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,seis,rua atuau,-46.697338,-23.565986,G
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,seis,rua atuau,-46.697338,-23.565986,G
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,sete,rua pe. Carvalho,-46.63611,-23.5475,H
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,sete,rua pe. Carvalho,-46.63611,-23.5475,H
Pinheiros,Arrianu Suassunga,2017-02-19T00:00:00Z,15:00,oito,rua Guaicui.,-46.696022,-23.566163,I
Pinheiros,Arrianu Suassunga,2017-03-04T00:00:00Z,12:00,oito,rua Guaicui.,-46.696022,-23.566163,I
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,um,Avenida Ipiranga,-46.636499,-23.539693,B
Sé,As Animalias,2017-02-26T00:00:00Z,15:00,dois,Avenida Sao Luis,-46.309498,-23.538439,C
