Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Cidade Tiradentes,BLOCO AFOXÉ OMO ODÉ,2017-02-18T00:00:00Z,14:00,inicio,Rua Rene de Toledo,-46.404532,-23.59979,A
Cidade Tiradentes,BLOCO AFOXÉ OMO ODÉ,2017-02-18T00:00:00Z,14:00,um,Rua Davi,-46.581996,-23.449283,B
Cidade Tiradentes,BLOCO AFOXÉ OMO ODÉ,2017-02-18T00:00:00Z,14:00,dois,Avenida Leandro,-46.401871,-23.602586,C
Cidade Tiradentes,BLOCO AFOXÉ OMO ODÉ,2017-02-18T00:00:00Z,14:00,tres,Avenida dos metalugicos,-46.63611,-23.5475,D
São Miguel Paulista,Bloco Afro Babalotim,2017-02-28T00:00:00Z,13:00,inicio,Avenida Deputado Drua Jose Aristodemo Pinotti entrua Av. Nordestina,-46.63611,-23.5475,A
São Miguel Paulista,Bloco Afro Babalotim,2017-02-28T00:00:00Z,13:00,um,Av. Moacir Dantas Itapicuru,-46.63611,-23.5475,B
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,inicio,Praca da Republica (Avenida Ipiranga),-46.636499,-23.539693,A
Sé,Bloco Afro Ilú Obá De Min,2017-02-26T00:00:00Z,14:00,inicio,Rua Lopes de Oliveira,-46.654463,-23.530654,A
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,um,Avenida Sao Luiz,-46.63611,-23.5475,B
Sé,Bloco Afro Ilú Obá De Min,2017-02-26T00:00:00Z,14:00,um,Rua Conselheirua Nebias,-46.63611,-23.5475,B
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,dois,Avenida Xavier de Toledo,-46.63611,-23.5475,C
Sé,Bloco Afro Ilú Obá De Min,2017-02-26T00:00:00Z,14:00,dois,Rua Drua Elias Chaves,-46.63611,-23.5475,C
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,tres,Praca Ramos,-46.412913,-23.719563,D
Sé,Bloco Afro Ilú Obá De Min,2017-02-26T00:00:00Z,14:00,tres,Rua Guaianazes,-46.63611,-23.5475,D
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,quatro,Rua Conselheirua Crispiniano,-46.63611,-23.5475,E
Sé,Bloco Afro Ilú Obá De Min,2017-02-26T00:00:00Z,14:00,quatro,Alameda Eduardo Prado,-46.646709,-23.528955,E
Sé,Bloco Afro Ilú Obá De Min,2017-02-24T00:00:00Z,19:00,cinco,Largo do Paissandu,-46.63611,-23.5475,F
Lapa,Bloco Agora Vai!,2017-02-28T00:00:00Z,11:00,inicio,Rua Marta,-46.662399,-23.530276,A
Lapa,Bloco Agora Vai!,2017-02-28T00:00:00Z,11:00,um,Rua Margarida,-46.660998,-23.530149,B
Lapa,Bloco Agora Vai!,2017-02-28T00:00:00Z,11:00,dois,Alameda Olga,-46.663036,-23.529198,C
Lapa,Bloco Agora Vai!,2017-02-28T00:00:00Z,11:00,tres,Rua Tagipuru,-46.668815,-23.5273,D
Lapa,Bloco Agora Vai!,2017-02-28T00:00:00Z,11:00,quatro,Largo Padrua Pericles,-46.63611,-23.5475,E
Sé,BLOCO AGRADA GREGOS,2017-02-25T00:00:00Z,15:00,inicio,rua conselheirua ramalho,-46.63611,-23.5475,A
Sé,BLOCO AGRADA GREGOS,2017-02-25T00:00:00Z,15:00,um,a rua manoel dutrua descendo,-46.63611,-23.5475,B
Sé,BLOCO AGRADA GREGOS,2017-02-25T00:00:00Z,15:00,dois,virar a rua maria jose,-46.309498,-23.538439,C
Vila Mariana,Bloco Amigos da Vila Mariana,2017-02-19T00:00:00Z,15:00,inicio,Rua Pelotas,-46.64672,-23.582476,A
Vila Mariana,Bloco Amigos da Vila Mariana,2017-02-19T00:00:00Z,15:00,um,Desfile sobe a rua pelotas e volta pela Rua Bage,-46.646212,-23.584196,B
Vila Mariana,Bloco Amigos da Vila Mariana,2017-02-19T00:00:00Z,15:00,dois,retornando a concentracao,-46.298198,-23.699367,C
São Miguel Paulista,Bloco Amigos de São Miguel,2017-02-28T00:00:00Z,13:00,inicio,Avenida Deputado Drua Jose Aristodemo Pinotti entrua Av. Nordestina,-46.63611,-23.5475,A
São Miguel Paulista,Bloco Amigos de São Miguel,2017-02-28T00:00:00Z,13:00,um,Av. Moacir Dantas Itapicuru,-46.63611,-23.5475,B
Vila Mariana,BLOCO AMORIBUNDA,2017-02-25T00:00:00Z,11:00,inicio,Engenheirua Luis Gomes Cardim Sangirardi ( A partir da Rua Ximbo),-46.63611,-23.5475,A
Vila Mariana,BLOCO AMORIBUNDA,2017-02-25T00:00:00Z,11:00,um,Rua da Uniao,-46.590476,-23.619915,B
Vila Mariana,BLOCO AMORIBUNDA,2017-02-25T00:00:00Z,11:00,dois,Rua Dona Brigida,-46.629966,-23.584488,C
Vila Mariana,BLOCO AMORIBUNDA,2017-02-25T00:00:00Z,11:00,tres,Rua Dona Inacia Uchoa,-46.63611,-23.5475,D
Vila Mariana,BLOCO AMORIBUNDA,2017-02-25T00:00:00Z,11:00,quatro,Av. Engenheirua Luis Gomes Cardim Sangirardi ( Ate a rua Ximbo),-46.630379,-23.578673,E
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,inicio,Praca do Patriarca,-46.636501,-23.54761,A
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,um,em frente a Prefeiturua do Municipio de Sao Paulo,-46.652633,-23.599455,B
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,tres,a Rua Direita. Siga  noroestePraca do Patriarca  a R Liberua Badaro. Virua a R. Liberua Badaro,-46.63611,-23.5475,D
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,quatro,Virua a Viaduto do Cha,-46.636831,-23.547091000000002,E
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,cinco,virua a Praca Ramos de Azevedo,-46.63611,-23.5475,F
Sé,Bloco Arregaçada,2017-03-05T00:00:00Z,15:00,seis,virua a  parua permanecerPraca Ramos e,-46.324462,-23.643969,G
São Miguel Paulista,Bloco Auto Estima Brasil,2017-02-28T00:00:00Z,13:00,inicio,Avenida Deputado Drua Jose Aristodemo Pinotti entrua Av. Nordestina,-46.63611,-23.5475,A
São Miguel Paulista,Bloco Auto Estima Brasil,2017-02-28T00:00:00Z,13:00,um,Av. Moacir Dantas Itapicuru,-46.63611,-23.5475,B
Pinheiros,Bloco Avisa Lá,2017-02-18T00:00:00Z,12:00,inicio,Rua dos Pinheiros,-46.318021,-23.649046,A
Pinheiros,Bloco Avisa Lá,2017-02-18T00:00:00Z,12:00,um,Antonio Bicudo,-46.63611,-23.5475,B
Vila Maria/Vila Guilherme,Bloco Bar do Edson,2017-02-18T00:00:00Z,11:00,inicio,GUARANESIA Rua Diamantina,-46.588741,-23.52149,A
Vila Maria/Vila Guilherme,Bloco Bar do Edson,2017-02-18T00:00:00Z,11:00,um,R. Andarai,-46.587773,-23.524,B
Vila Maria/Vila Guilherme,Bloco Bar do Edson,2017-02-18T00:00:00Z,11:00,dois,R. ANDARAIR. Guaranesia,-46.590488,-23.517514,C
Vila Maria/Vila Guilherme,Bloco Bar do Edson,2017-02-18T00:00:00Z,11:00,quatro,R. ITAUNA R. Andarai,-46.63611,-23.5475,E
Vila Maria/Vila Guilherme,Bloco Bar do Edson,2017-02-18T00:00:00Z,11:00,cinco,R. Diamantina,-46.63611,-23.5475,F
Pinheiros,Bloco Bastardo,2017-02-25T00:00:00Z,15:00,inicio,Rua Joao Mourua,-46.63611,-23.5475,A
Pinheiros,Bloco Bastardo,2017-02-26T00:00:00Z,14:00,inicio,Rua Joao Mourua,-46.63611,-23.5475,A
Pinheiros,Bloco Bastardo,2017-02-27T00:00:00Z,15:00,inicio,Rua Joao Mourua,-46.63611,-23.5475,A
Pinheiros,Bloco Bastardo,2017-02-25T00:00:00Z,15:00,um,Rua Artur de Azevedo,-46.673424,-23.557657,B
Pinheiros,Bloco Bastardo,2017-02-26T00:00:00Z,14:00,um,Rua Artur de Azevedo,-46.673424,-23.557657,B
Pinheiros,Bloco Bastardo,2017-02-27T00:00:00Z,15:00,um,Rua Artur de Azevedo,-46.673424,-23.557657,B
Pinheiros,Bloco Bastardo,2017-02-25T00:00:00Z,15:00,dois,Rua Fradique Coutinho,-46.688391,-23.560446,C
Pinheiros,Bloco Bastardo,2017-02-26T00:00:00Z,14:00,dois,Rua Fradique Coutinho,-46.688391,-23.560446,C
Pinheiros,Bloco Bastardo,2017-02-27T00:00:00Z,15:00,dois,Rua Fradique Coutinho,-46.688391,-23.560446,C
Pinheiros,Bloco Bastardo,2017-02-25T00:00:00Z,15:00,quatro,Rua dos Pinheiros,-46.318021,-23.649046,E
Pinheiros,Bloco Bastardo,2017-02-26T00:00:00Z,14:00,quatro,Rua dos Pinheiros,-46.318021,-23.649046,E
Pinheiros,Bloco Bastardo,2017-02-27T00:00:00Z,15:00,quatro,Rua dos Pinheiros,-46.318021,-23.649046,E
Pinheiros,Bloco Bastardo,2017-02-25T00:00:00Z,15:00,cinco,Rua Francisco Leitao,-46.681118,-23.561412,F
Pinheiros,Bloco Bastardo,2017-02-26T00:00:00Z,14:00,cinco,Rua Francisco Leitao,-46.681118,-23.561412,F
Pinheiros,Bloco Bastardo,2017-02-27T00:00:00Z,15:00,cinco,Rua Francisco Leitao,-46.681118,-23.561412,F
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,inicio,Rua Taquari,-46.592476,-23.546287,A
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,um,Rua Paraupava,-46.63611,-23.5475,B
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,dois,Rua Arinaia,-46.591518,-23.550461,C
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,tres,Rua Sapucaia,-46.591855,-23.551406,D
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,quatro,Praca Barao de Tiete,-46.594103,-23.54645,E
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,cinco,Rua Taquari,-46.592476,-23.546287,F
Mooca,"Bloco Belém Belém Agora Eu To De Bem",2017-02-18T00:00:00Z,14:00,seis,o trecho de concentracao.,-46.63611,-23.5475,G
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,inicio,Praca Doutor Julio Conceicao Neves,-46.691489,-23.605085,A
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,inicio,Praca Doutor Julio Conceicao Neves,-46.691489,-23.605085,A
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,inicio,Praca Doutor Julio Conceicao Neves,-46.691489,-23.605085,A
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,um,Avenida Brigadeirua Faria Lima,-46.63611,-23.5475,B
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,um,Avenida Brigadeirua Faria Lima,-46.63611,-23.5475,B
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,um,Avenida Brigadeirua Faria Lima,-46.63611,-23.5475,B
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,dois,Rua Nova Cidade.Avenida Faria Lima,-46.63611,-23.5475,C
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,dois,Rua Nova Cidade.Avenida Faria Lima,-46.63611,-23.5475,C
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,dois,Rua Nova Cidade.Avenida Faria Lima,-46.63611,-23.5475,C
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,tres,a Rua Elvirua Ferraz. Rua Elvirua Ferraz,-46.63611,-23.5475,D
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,tres,a Rua Elvirua Ferraz. Rua Elvirua Ferraz,-46.63611,-23.5475,D
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,tres,a Rua Elvirua Ferraz. Rua Elvirua Ferraz,-46.63611,-23.5475,D
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,quatro,a Rua Fiandeiras.  Rua Fiandeiras,-46.674996,-23.597095,E
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,quatro,a Rua Fiandeiras.  Rua Fiandeiras,-46.674996,-23.597095,E
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,quatro,a Rua Fiandeiras.  Rua Fiandeiras,-46.674996,-23.597095,E
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,cinco,a Rua Olimpiadas. Rua Olimpiadas,-46.684903,-23.595580000000002,F
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,cinco,a Rua Olimpiadas. Rua Olimpiadas,-46.684903,-23.595580000000002,F
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,cinco,a Rua Olimpiadas. Rua Olimpiadas,-46.684903,-23.595580000000002,F
Pinheiros,Bloco Beleza Rara,2017-02-18T00:00:00Z,13:00,seis,a Rua Gomes de Carvalho.,-46.680764,-23.599146,G
Pinheiros,Bloco Beleza Rara,2017-02-19T00:00:00Z,15:00,seis,a Rua Gomes de Carvalho.,-46.680764,-23.599146,G
Pinheiros,Bloco Beleza Rara,2017-03-05T00:00:00Z,15:00,seis,a Rua Gomes de Carvalho.,-46.680764,-23.599146,G
Sé,Bloco Bollywood,2017-02-25T00:00:00Z,11:00,inicio,Rua Nestor Pestana,-46.645446,-23.548782,A
Sé,Bloco Bollywood,2017-02-25T00:00:00Z,11:00,um,Rua Da Consolacao,-46.642012,-23.547833,B
Sé,Bloco Bollywood,2017-02-25T00:00:00Z,11:00,dois,Rua Martins Fontes,-46.644333,-23.549272,C
Sé,Bloco Bollywood,2017-02-25T00:00:00Z,11:00,tres,Rua Nestor Pestana,-46.645446,-23.548782,D
São Miguel Paulista,Bloco Caia na Folia,2017-02-28T00:00:00Z,13:00,inicio,Avenida Deputado Drua Jose Aristodemo Pinotti entrua Av. Nordestina,-46.63611,-23.5475,A
São Miguel Paulista,Bloco Caia na Folia,2017-02-28T00:00:00Z,13:00,um,Av. Moacir Dantas Itapicuru,-46.63611,-23.5475,B
Freguesia do Ó/Brasilândia,BLOCO CALÇADA DO SAMBA,2017-02-18T00:00:00Z,13:00,inicio,do bloco da Rua Inacio Xavier de Carvalho,-46.63611,-23.5475,A
Freguesia do Ó/Brasilândia,BLOCO CALÇADA DO SAMBA,2017-02-18T00:00:00Z,13:00,tres,a Rua Carlos Dias Fernandes,-46.678155,-23.475179,D
Freguesia do Ó/Brasilândia,BLOCO CALÇADA DO SAMBA,2017-02-18T00:00:00Z,13:00,cinco,entramosRua Arapiuns,-46.678128,-23.476759,F
Freguesia do Ó/Brasilândia,BLOCO CALÇADA DO SAMBA,2017-02-18T00:00:00Z,13:00,seis,descemos a Av. Itaberaba,-46.63611,-23.5475,G
Vila Mariana,Bloco Caraviva,2017-02-18T00:00:00Z,16:00,inicio,Rua Drua Diogo de Faria,-46.63611,-23.5475,A
Vila Mariana,Bloco Caraviva,2017-02-18T00:00:00Z,16:00,um,a partir da Rua Coronel Lisboa,-46.63611,-23.5475,B
Vila Mariana,Bloco Caraviva,2017-02-18T00:00:00Z,16:00,tres,na propria Drua Diogo de Fariai,-46.333282,-23.664512,D
Sé,"BLOCO CARNAVALESCO ""RAMALOUCOS""",2017-02-25T00:00:00Z,15:00,inicio,rua conselheirua ramalho,-46.63611,-23.5475,A
Sé,"BLOCO CARNAVALESCO ""RAMALOUCOS""",2017-02-25T00:00:00Z,15:00,um,a rua manoel dutrua descendo,-46.63611,-23.5475,B
Sé,"BLOCO CARNAVALESCO ""RAMALOUCOS""",2017-02-25T00:00:00Z,15:00,dois,virar a rua maria jose subir a rua fortaleza,-46.643985,-23.559714,C
Sé,"BLOCO CARNAVALESCO ""RAMALOUCOS""",2017-02-25T00:00:00Z,15:00,tres,dispersar a rua conselheirua ramalho,-46.63611,-23.5475,D
Casa Verde,"Bloco Carnavalesco Aí Se Me Perdeu",2017-03-04T00:00:00Z,11:00,inicio,Av. Engenheirua Caetano Alvares,-46.63611,-23.5475,A
Casa Verde,"Bloco Carnavalesco Aí Se Me Perdeu",2017-03-04T00:00:00Z,11:00,um,Rua Padrua Joao Gualberto,-46.63611,-23.5475,B
Casa Verde,"Bloco Carnavalesco Aí Se Me Perdeu",2017-03-04T00:00:00Z,11:00,dois,Rua Armando Coelho Silva,-46.655724,-23.493007,C
Jabaquara,Bloco Carnavalesco do Zé Pereira,2017-02-25T00:00:00Z,18:00,inicio,rua Anita Costa,-46.638949,-23.647228,A
Jabaquara,Bloco Carnavalesco do Zé Pereira,2017-02-25T00:00:00Z,18:00,um,rua Onze de Fevereiro,-46.634854,-23.647372,B
Jabaquara,Bloco Carnavalesco do Zé Pereira,2017-02-25T00:00:00Z,18:00,dois,rua dos Jornalistas,-46.639267,-23.644796,C
Jabaquara,Bloco Carnavalesco do Zé Pereira,2017-02-25T00:00:00Z,18:00,tres,rua Nelson Fernandes,-46.639002,-23.646526,D
Jabaquara,Bloco Carnavalesco do Zé Pereira,2017-02-25T00:00:00Z,18:00,quatro,l EMTU. Retorno: Terminal EMTU,-46.63611,-23.5475,E
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,inicio,Praca Jose Clarua Goncalves,-46.735805,-23.587423,A
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,um,segue pela Rua Dona Layr da Costa Rego,-46.63611,-23.5475,B
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,dois,entruaRua Salvador Risoleu,-46.63611,-23.5475,C
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,tres,cruza a Av. Ministrua Laudo Ferreirua de Camargo,-46.63611,-23.5475,D
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,quatro,continua pela Rua Salvador Risoleu,-46.737447,-23.587667,E
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,cinco,entruaRua Julio Rebollo Perez,-46.63611,-23.5475,F
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,seis,entruaRua Junta Mizumoto,-46.737171,-23.588937,G
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,sete,cruza a Av. Ministrua Laudo Ferreirua de Camargo,-46.63611,-23.5475,H
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,oito,continua pela Rua Junta Mizumoto,-46.63611,-23.5475,I
Butantã,Bloco Carnavalesco Jamirovai,2017-02-18T00:00:00Z,14:00,nove,entruaRua Dona Layr da Costa Rego,-46.63611,-23.5475,J
Pinheiros,"BLOCO CARNAVALESCO JOÃO CAPOTA NA ALVES",2017-02-25T00:00:00Z,13:00,inicio,Rua Oscar Freire,-46.668973,-23.563117,A
Pinheiros,"BLOCO CARNAVALESCO JOÃO CAPOTA NA ALVES",2017-02-25T00:00:00Z,13:00,um,Rua Artur de Azevedo,-46.673424,-23.557657,B
Pinheiros,"BLOCO CARNAVALESCO JOÃO CAPOTA NA ALVES",2017-02-25T00:00:00Z,13:00,dois,Rua Joao Moura,-46.675231,-23.56387,C
Lapa,"Bloco Carnavalesco Leopoldina tá em festa",2017-02-18T00:00:00Z,12:00,inicio,Rua Carlos weberua rua merghentalerua rua Milton Lodetti,-46.608616,-23.497899,A
Sé,Bloco Carnavalesco Nossa Quarta,2017-02-21T00:00:00Z,20:00,um,Conde do Pinhal,-46.633604,-23.553025,B
Sé,Bloco Carnavalesco Nossa Quarta,2017-02-21T00:00:00Z,20:00,dois,Largo Sete de Setembro,-46.63611,-23.5475,C
Sé,Bloco Carnavalesco Nossa Quarta,2017-02-21T00:00:00Z,20:00,tres,Rua Alvares Machado,-46.63523,-23.553029,D
Sé,Bloco Carnavalesco Nossa Quarta,2017-02-21T00:00:00Z,20:00,quatro,Rua Rodrigo Silva,-46.63611,-23.5475,E
Sé,Bloco Carnavalesco Nossa Quarta,2017-02-21T00:00:00Z,20:00,cinco,encerruaPraca Joao Mendes,-46.319402,-23.648833,F
Mooca,"Bloco Carnavalesco Partideiros do Maria Zélia",2017-02-26T00:00:00Z,16:00,inicio,Rua Jose Pinheirua Bezerra,-46.63611,-23.5475,A
Santana/Tucuruvi,"Bloco Carnavalesco Segunda Sem Lei",2017-02-19T00:00:00Z,12:00,inicio,ENG. CAETANO ALVARES entrua Meirelles Resis,-46.671034,-23.51349,A
Santana/Tucuruvi,"Bloco Carnavalesco Segunda Sem Lei",2017-02-19T00:00:00Z,12:00,um,Irmao Joao Creff,-46.626675,-23.472495,B
Sé,"Bloco Carnavalesco Somos Todos Carmen",2017-02-18T00:00:00Z,14:00,inicio,Rua Guimaraes Rosa,-46.529448,-23.713374,A
Sé,"Bloco Carnavalesco Somos Todos Carmen",2017-02-18T00:00:00Z,14:00,um,Rua Augusta,-46.651746,-23.551776,B
Sé,"Bloco Carnavalesco Somos Todos Carmen",2017-02-18T00:00:00Z,14:00,dois,Rua Nestor Pestana,-46.645446,-23.548782,C
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,inicio,RUA CESARIO GALENO,-46.63611,-23.5475,A
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,um,SEGUE PELA RUA HONORIO MAIA,-46.55408,-23.532625,B
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,dois,RUA ANTONIO DE BARROS,-46.554648,-23.549837,C
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,tres,RUA MELO PEIXOTO,-46.563885,-23.537377,D
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,quatro,RETORNANDO A LOCAL DA CONCENTRACAO,-46.336406,-23.671694,E
Mooca,"BLOCO CARNAVALESCO UNIDOS DO PARQUE SÃO JORGE",2017-02-18T00:00:00Z,12:00,cinco,RUA CESARIO GALENO.,-46.63611,-23.5475,F
Pinheiros,Bloco Casa Comigo,2017-02-18T00:00:00Z,11:00,inicio,ComecaFaria Lima,-46.332408,-23.659865,A
Pinheiros,Bloco Chega Mais,2017-03-05T00:00:00Z,12:00,inicio,Rua Inacio Pereirua da Rocha,-46.63611,-23.5475,A
Pinheiros,Bloco Chega Mais,2017-03-05T00:00:00Z,12:00,um,a Deputado Lacerda Franco,-46.691222,-23.562221,B
Pinheiros,Bloco Chinelo De Dedo,2017-02-19T00:00:00Z,15:00,inicio,Praca dos Omaguas so ficarao la,-46.691897,-23.562131,A
Pinheiros,Bloco Chora Me Liga,2017-03-04T00:00:00Z,15:00,inicio,(concentracao) da Rua Fiandeiras,-46.63611,-23.5475,A
Pinheiros,Bloco Chora Me Liga,2017-03-05T00:00:00Z,15:00,inicio,(concentracao) da Rua Fiandeiras,-46.63611,-23.5475,A
Pinheiros,Bloco Chora Me Liga,2017-03-04T00:00:00Z,15:00,dois,Rua Fiandeiras,-46.674996,-23.597095,C
Pinheiros,Bloco Chora Me Liga,2017-03-05T00:00:00Z,15:00,dois,Rua Fiandeiras,-46.674996,-23.597095,C
Pinheiros,Bloco Chora Me Liga,2017-03-04T00:00:00Z,15:00,tres,a Rua Olimpiadas. Rua Olimpiadas,-46.684903,-23.595580000000002,D
Pinheiros,Bloco Chora Me Liga,2017-03-05T00:00:00Z,15:00,tres,a Rua Olimpiadas. Rua Olimpiadas,-46.684903,-23.595580000000002,D
Pinheiros,Bloco Chora Me Liga,2017-03-04T00:00:00Z,15:00,quatro,a Rua Gomes de Carvalho.  Rua Gomes de Carvalho,-46.680764,-23.599146,E
Pinheiros,Bloco Chora Me Liga,2017-03-05T00:00:00Z,15:00,quatro,a Rua Gomes de Carvalho.  Rua Gomes de Carvalho,-46.680764,-23.599146,E
Pinheiros,Bloco Chora Me Liga,2017-03-04T00:00:00Z,15:00,cinco,a Rua Funchal. Rua Funchal,-46.688091,-23.592763,F
Pinheiros,Bloco Chora Me Liga,2017-03-05T00:00:00Z,15:00,cinco,a Rua Funchal. Rua Funchal,-46.688091,-23.592763,F
Santo Amaro,Bloco Chucrute Zaidan,2017-02-18T00:00:00Z,14:00,inicio,Av. Doutor Chucrua Zaidan. Rua Domingos Antonio Ciccone. Rua Engenheirua Agenor Machado. Rua Joerua Bruderua Av. Doutor Chucrua Zaidan.,-46.63611,-23.5475,A
Vila Mariana,Bloco Confraternidade,2017-03-05T00:00:00Z,13:00,inicio,Frederico Boteco (Alameda dos Anapurus,-46.63611,-23.5475,A
Vila Mariana,Bloco Confraternidade,2017-03-05T00:00:00Z,13:00,dois,Avenida Jurema(a ),-46.63611,-23.5475,C
Vila Mariana,Bloco Confraternidade,2017-03-05T00:00:00Z,13:00,tres,Alameda dos Aicas(a ),-46.63611,-23.5475,D
Vila Mariana,Bloco Confraternidade,2017-03-05T00:00:00Z,13:00,quatro,Avenida dos Imares(a ),-46.659567,-23.617665,E
Vila Mariana,Bloco Confraternidade,2017-03-05T00:00:00Z,13:00,seis,Frederico Boteco.,-46.583578,-23.492919,G
Vila Prudente,Bloco Conselho do Samba,2017-02-28T00:00:00Z,16:00,inicio,Largo da Vila Alpina,-46.63611,-23.5475,A
Vila Prudente,Bloco Conselho do Samba,2017-02-28T00:00:00Z,16:00,um,Rua Maria Tavares,-46.559325,-23.595688,B
Vila Prudente,Bloco Conselho do Samba,2017-02-28T00:00:00Z,16:00,dois,Rua Bia Negra,-46.63611,-23.5475,C
Vila Prudente,Bloco Conselho do Samba,2017-02-28T00:00:00Z,16:00,tres,Rua Junquilhos,-46.63611,-23.5475,D
Pinheiros,Bloco Cosmic Dance,2017-02-19T00:00:00Z,15:00,inicio,Percorrua a Rua Dr Virgilio de Carvalho cruza a rua Arthur Azevedo,-46.63611,-23.5475,A
Pinheiros,Bloco Cosmic Dance,2017-02-19T00:00:00Z,15:00,dois,antes da Rua dos Pinheiros,-46.63611,-23.5475,C
Sé,"Bloco Culrual Carnavalesco Boêmios da Madame",2017-02-19T00:00:00Z,15:00,inicio,Final do Parque da Luz,-46.635588,-23.533007,A
Sé,"Bloco Culrual Carnavalesco Boêmios da Madame",2017-02-19T00:00:00Z,15:00,um,a Avenida Prestes Maia,-46.633549,-23.536437,B
Lapa,Bloco D-errete,2017-02-26T00:00:00Z,18:00,inicio,Aveninda Aurua Soares de Mourua Andreade,-46.311501,-23.654169,A
Lapa,Bloco D-errete,2017-02-26T00:00:00Z,18:00,dois,Praca Conde Francisco Matarazzo Junior,-46.677208,-23.526352,C
Sé,Bloco da Abolição,2017-02-19T00:00:00Z,12:00,inicio,Rua Abolicao,-46.642137,-23.55322,A
Sé,Bloco da Abolição,2017-02-19T00:00:00Z,12:00,um,Rua Humaita,-46.56426,-23.595077,B
Sé,Bloco da Abolição,2017-02-19T00:00:00Z,12:00,dois,Rua Conselheirua Carrao,-46.63611,-23.5475,C
Sé,Bloco da Abolição,2017-02-19T00:00:00Z,12:00,tres,Rua Treze de Maio,-46.644159,-23.567744,D
Sé,Bloco da Abolição,2017-02-19T00:00:00Z,12:00,quatro,Rua Santo Antonio,-46.309498,-23.538439,E
