GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US22420,22420,"Flint, MI Metro Area",17645,2901
310M200US22500,22500,"Florence, SC Metro Area",15685,1730
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",22498,8883
310M200US22540,22540,"Fond du Lac, WI Metro Area",15397,6063
310M200US22660,22660,"Fort Collins, CO Metro Area",21749,5476
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",12050,2241
310M200US23060,23060,"Fort Wayne, IN Metro Area",15893,1618
310M200US23420,23420,"Fresno, CA Metro Area",17308,2415
310M200US23540,23540,"Gainesville, FL Metro Area",15605,2325
310M200US23580,23580,"Gainesville, GA Metro Area",20394,4081
310M200US23900,23900,"Gettysburg, PA Metro Area",22128,12619
310M200US24020,24020,"Glens Falls, NY Metro Area",10529,5365
310M200US24140,24140,"Goldsboro, NC Metro Area",17094,1647
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",13503,4465
310M200US24260,24260,"Grand Island, NE Metro Area",8400,5013
310M200US24300,24300,"Grand Junction, CO Metro Area",23985,9341
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",16020,1659
310M200US24500,24500,"Great Falls, MT Metro Area",19097,6563
310M200US24540,24540,"Greeley, CO Metro Area",23171,8322
310M200US24580,24580,"Green Bay, WI Metro Area",16169,6061
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",18425,1351
310M200US24780,24780,"Greenville, NC Metro Area",17201,1407
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",19014,1371
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",15996,1404
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",15315,2762
310M200US25220,25220,"Hammond, LA Metro Area",11424,1349
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",18085,6085
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",18750,2575
310M200US25500,25500,"Harrisonburg, VA Metro Area",16312,5690
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",23435,1298
310M200US25620,25620,"Hattiesburg, MS Metro Area",12069,1335
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",15671,3244
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",15013,2028
310M200US25980,25980,"Hinesville, GA Metro Area",16709,1870
310M200US26140,26140,"Homosassa Springs, FL Metro Area",23351,6335
310M200US26300,26300,"Hot Springs, AR Metro Area",28229,23508
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",15700,2319
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",22703,712
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",16129,3918
310M200US26620,26620,"Huntsville, AL Metro Area",22272,1784
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",18614,914
310M200US26980,26980,"Iowa City, IA Metro Area",11829,2853
310M200US27060,27060,"Ithaca, NY Metro Area",16220,6776
310M200US27100,27100,"Jackson, MI Metro Area",16580,7391
310M200US27140,27140,"Jackson, MS Metro Area",16414,655
310M200US27180,27180,"Jackson, TN Metro Area",22540,6643
310M200US27260,27260,"Jacksonville, FL Metro Area",17528,736
310M200US27340,27340,"Jacksonville, NC Metro Area",25067,8764
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",14761,5286
310M200US27620,27620,"Jefferson City, MO Metro Area",11701,2782
310M200US27740,27740,"Johnson City, TN Metro Area",21263,5544
310M200US27780,27780,"Johnstown, PA Metro Area",10265,2771
310M200US27860,27860,"Jonesboro, AR Metro Area",14305,2560
310M200US27900,27900,"Joplin, MO Metro Area",11918,3974
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",37258,18736
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",16557,2311
310M200US28100,28100,"Kankakee, IL Metro Area",13878,2277
310M200US28140,28140,"Kansas City, MO-KS Metro Area",21411,1338
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",18421,6976
310M200US28660,28660,"Killeen-Temple, TX Metro Area",22075,2643
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",16623,5709
310M200US28740,28740,"Kingston, NY Metro Area",16033,4155
310M200US28940,28940,"Knoxville, TN Metro Area",19731,3251
310M200US29020,29020,"Kokomo, IN Metro Area",13961,4174
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",20071,9141
310M200US29180,29180,"Lafayette, LA Metro Area",14399,1411
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",14780,4813
310M200US29340,29340,"Lake Charles, LA Metro Area",17634,2082
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",24350,14475
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",13793,1045
310M200US29540,29540,"Lancaster, PA Metro Area",14317,2572
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",22196,7371
310M200US29700,29700,"Laredo, TX Metro Area",6949,4803
310M200US29740,29740,"Las Cruces, NM Metro Area",69852,63957
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",22134,2629
310M200US29940,29940,"Lawrence, KS Metro Area",23932,8126
310M200US30020,30020,"Lawton, OK Metro Area",16926,2068
310M200US30140,30140,"Lebanon, PA Metro Area",24701,10569
310M200US30300,30300,"Lewiston, ID-WA Metro Area",54509,33221
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",3426,2177
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",16909,1507
310M200US30620,30620,"Lima, OH Metro Area",16154,2606
310M200US30700,30700,"Lincoln, NE Metro Area",14380,3040
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",17386,1432
