GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",28055,1213
310M200US31900,31900,"Mansfield, OH Metro Area",25720,1908
310M200US32420,32420,"Mayagüez, PR Metro Area",13741,1905
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",15473,654
310M200US32780,32780,"Medford, OR Metro Area",25200,1473
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",35709,1311
310M200US32900,32900,"Merced, CA Metro Area",22280,1626
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",32389,487
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",28359,2782
310M200US33220,33220,"Midland, MI Metro Area",33481,2700
310M200US33260,33260,"Midland, TX Metro Area",39158,3217
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",36545,563
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",40090,445
310M200US33540,33540,"Missoula, MT Metro Area",27490,1861
310M200US33660,33660,"Mobile, AL Metro Area",28106,1620
310M200US33700,33700,"Modesto, CA Metro Area",24742,1089
310M200US33740,33740,"Monroe, LA Metro Area",25995,1894
310M200US33780,33780,"Monroe, MI Metro Area",27777,1140
310M200US33860,33860,"Montgomery, AL Metro Area",32786,1786
310M200US34060,34060,"Morgantown, WV Metro Area",26995,1513
310M200US34100,34100,"Morristown, TN Metro Area",21804,1405
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",31433,1652
310M200US34620,34620,"Muncie, IN Metro Area",21364,1415
310M200US34740,34740,"Muskegon, MI Metro Area",24245,1187
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",28967,1116
310M200US34900,34900,"Napa, CA Metro Area",50083,3824
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",42493,2474
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",33569,730
310M200US35100,35100,"New Bern, NC Metro Area",29454,1773
310M200US35300,35300,"New Haven-Milford, CT Metro Area",37189,871
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",34148,869
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",46119,356
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",33321,2485
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",34002,938
310M200US35980,35980,"Norwich-New London, CT Metro Area",38119,1501
310M200US36100,36100,"Ocala, FL Metro Area",22969,1109
310M200US36140,36140,"Ocean City, NJ Metro Area",35656,2366
310M200US36220,36220,"Odessa, TX Metro Area",27821,1750
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",26313,600
310M200US36420,36420,"Oklahoma City, OK Metro Area",31077,713
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",31259,1093
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",33743,702
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",28859,593
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",29541,1783
310M200US36980,36980,"Owensboro, KY Metro Area",27156,1827
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",35284,973
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",30300,1157
310M200US37460,37460,"Panama City, FL Metro Area",27473,1469
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",24354,2433
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",29140,1027
310M200US37900,37900,"Peoria, IL Metro Area",32442,1006
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",40346,449
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",30434,425
310M200US38220,38220,"Pine Bluff, AR Metro Area",23954,2995
310M200US38300,38300,"Pittsburgh, PA Metro Area",33852,442
310M200US38340,38340,"Pittsfield, MA Metro Area",32160,1853
310M200US38540,38540,"Pocatello, ID Metro Area",21806,1491
310M200US38660,38660,"Ponce, PR Metro Area",9786,797
310M200US38860,38860,"Portland-South Portland, ME Metro Area",35001,1668
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",34706,520
310M200US38940,38940,"Port St. Lucie, FL Metro Area",30262,1567
310M200US39140,39140,"Prescott, AZ Metro Area",27154,1461
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",34012,588
310M200US39340,39340,"Provo-Orem, UT Metro Area",22947,703
310M200US39380,39380,"Pueblo, CO Metro Area",24230,1511
310M200US39460,39460,"Punta Gorda, FL Metro Area",29239,1833
310M200US39540,39540,"Racine, WI Metro Area",32000,1242
310M200US39580,39580,"Raleigh, NC Metro Area",37683,820
310M200US39660,39660,"Rapid City, SD Metro Area",31297,1875
310M200US39740,39740,"Reading, PA Metro Area",30565,1159
310M200US39820,39820,"Redding, CA Metro Area",25975,1462
310M200US39900,39900,"Reno, NV Metro Area",32635,1324
310M200US40060,40060,"Richmond, VA Metro Area",38502,952
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",25937,421
310M200US40220,40220,"Roanoke, VA Metro Area",29020,1017
310M200US40340,40340,"Rochester, MN Metro Area",36009,1516
310M200US40380,40380,"Rochester, NY Metro Area",32529,738
310M200US40420,40420,"Rockford, IL Metro Area",28909,1405
310M200US40580,40580,"Rocky Mount, NC Metro Area",29565,2830
310M200US40660,40660,"Rome, GA Metro Area",24034,2105
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",34651,556
310M200US40980,40980,"Saginaw, MI Metro Area",27928,1688
310M200US41060,41060,"St. Cloud, MN Metro Area",28637,1328
310M200US41100,41100,"St. George, UT Metro Area",26427,1937
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",24207,1208
310M200US41180,41180,"St. Louis, MO-IL Metro Area",35101,519
310M200US41420,41420,"Salem, OR Metro Area",25589,947
310M200US41500,41500,"Salinas, CA Metro Area",30839,1993
310M200US41540,41540,"Salisbury, MD-DE Metro Area",31893,1792
310M200US41620,41620,"Salt Lake City, UT Metro Area",30555,717
310M200US41660,41660,"San Angelo, TX Metro Area",27001,2703
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",27050,534
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",34955,569
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",58522,872
310M200US41900,41900,"San Germán, PR Metro Area",9623,1523
