Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.905658928585406,0.876167774105327,0.838783240520334,0.824770260752985,0.794737314822123,0.782235046652819,0.754016805955666,0.753954995133431,0.672999897262704,..
Azerbaijan,AZE,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,2375.57109240293,3089.65449366833,3388.31131027119,3192.77911402891,3763.92871453633,3775.8337473006,4187.54772549707,4563.8283529168,..,..
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,99.6019134521484,..,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.8052597045898,..
Azerbaijan,AZE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.96972153662301,1.90772474975072,1.83708545070472,1.81597808060824,1.7686314914387,1.72534779074426,1.68964264521958,1.65523153144364,..,..
Azerbaijan,AZE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,4.57653797474662,6.29501240116287,6.38557579182856,..,..,..,..,..,..
Azerbaijan,AZE,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-330.691322717243,-340.425804197951,-441.156606679222,-465.487298167864,-377.332754618619,-328.956795544407,-327.600377712539,..,..,..
Azerbaijan,AZE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.97,1.9,1.82,1.92,1.96,2,2,2,..,..
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4851.17690871859,5262.10135550006,5639.001689405,5842.80578358576,5770.96970270605,5820.0798474712,6078.32064851423,6122.98048925179,6115.75820229479,..
Azerbaijan,AZE,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,10464.7884034138,12155.9877647817,14239.4582350085,15122.9203241352,14593.2795658638,14669.9959636656,15860.4656582496,16432.6432507794,..,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.756512195122,70.0639512195122,70.2936829268293,70.4513170731707,70.5518048780488,70.6239512195122,70.6905853658537,70.7632195121951,..,..
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.86419491898944,3.29121114577001,3.32542168167072,2.79100435652891,4.67013555547022,4.72321511251042,4.57820552365175,4.55781667000125,5.61155870702328,..
"Bahamas, The",BHS,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,23908.3991524541,22693.0447553952,20235.182676437,19692.9055475378,18732.6811558826,18747.6946453436,18517.7062549859,17999.617950754,..,..
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.455086651673502,0.51256554431898,0.427208194449274,0.415214221569896,0.402111796540892,0.393864973819563,0.590675505595515,0.58047375588846,..,..
"Bahamas, The",BHS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..
